주문일자,종목명,매수가격,매수시간,매도시간,수익률,매매순서,최대거래대금 시간,최대거래대금,직전 거래대금,양봉개수,10이격도,20이격도,60이격도,종목코드,매수등락률,시가등락률,뉴스기사,분봉전고점
2022-04-08,NHN벅스,17450,09:56:31,11:18:21,-2.02,6,09:39:00,49,16,2,1.31,1.28,4.72,104200,15.56,3.31,1,2.01
2022-04-08,디스플레이텍,8510,11:22:02,11:25:30,-0.18,7,11:00:00,65,7,1,0.76,0.9,3.52,066670,13.16,0.66,1,1.76
2022-04-08,린드먼아시아,7000,11:47:32,11:48:08,-0.3,8,10:00:00,17,14,2,2.96,3.47,3.65,277070,26.35,0.0,0,1.14
2022-04-08,KCTC,7020,13:51:07,13:51:40,-2.01,9,13:47:00,52,42,0,5.93,7.62,8.7,009070,13.23,1.13,1,0.57
2022-04-08,엠아이텍,10750,13:54:03,14:42:04,2.0300000000000002,10,13:17:00,155,1,1,-0.28,-0.05,1.08,179290,26.77,2.24,1,2.33
2022-04-08,시너지이노베이션,4530,14:50:09,14:51:09,-0.41,11,12:50:00,51,3,1,0.8,0.83,1.51,048870,22.43,0.54,1,1.88
2022-04-08,시너지이노베이션,4375,15:00:57,15:05:01,-3.13,12,12:50:00,51,5,0,-0.36,-1.52,-2.47,048870,18.24,0.54,1,5.49
2022-04-08,시너지이노베이션,4315,15:05:32,15:13:37,-1.69,13,12:50:00,51,3,0,-0.35,-2.02,-3.58,048870,16.62,0.54,1,6.95
2022-04-08,하인크코리아,3720,15:15:02,09:02:32,10.01,14,15:10:00,43,6,1,1.9,3.33,14.73,373200,29.62,-1.05,0,0.27
2022-04-12,티사이언티픽,4505,09:45:27,09:49:54,-2.4099999999999997,1,09:02:00,92,4,0,0.49,0.65,6.69,057680,20.78,14.08,1,1.55
2022-04-12,GS글로벌,4050,09:55:29,09:58:43,2.54,2,09:00:00,182,3,0,1.21,1.33,3.33,001250,13.92,5.34,1,1.11
2022-04-13,LG헬로비전,6160,10:01:02,10:04:40,1.65,1,09:22:00,73,6,1,0.65,0.57,1.85,037560,19.15,5.61,1,1.62
2022-04-15,쇼박스,6430,09:54:51,09:57:19,0.6300000000000001,1,09:18:00,81,6,1,0.75,0.78,3.39,086980,12.81,2.11,1,2.49
2022-04-15,쇼박스,6630,10:01:11,10:02:56,1.06,2,09:18:00,81,24,1,2.09,3.13,5.03,086980,16.32,2.11,1,0.6
2022-04-15,쇼박스,6510,13:41:29,13:43:57,0.16000000000000003,3,09:18:00,81,1,1,0.62,0.82,0.62,086980,14.21,2.11,1,5.53
2022-04-19,쌍방울,941,09:56:00,09:56:42,-2.4299999999999997,1,09:22:00,91,33,6,3.23,5.88,15.19,102280,25.97,0.0,1,0.11
2022-04-19,쌍방울,926,09:57:26,10:01:21,-4.3999999999999995,2,09:22:00,91,43,0,1.2,3.65,12.94,102280,23.96,0.0,1,1.84
2022-04-19,에코바이오,8810,10:01:31,10:02:52,1.0999999999999999,3,10:01:00,24,16,2,4.66,7.77,17.01,038870,25.14,-1.28,0,2.16
2022-04-19,KG스틸,19400,10:03:41,10:05:39,-0.56,4,09:24:00,100,40,0,0.57,1.76,4.1,016380,10.54,2.85,1,1.55
2022-04-19,쌍방울,887,10:05:48,10:50:28,1.28,5,09:22:00,91,31,0,-1.55,-1.95,5.57,102280,18.74,0.0,1,6.31
2022-04-19,SCI평가정보,4105,10:53:25,10:53:32,-0.6699999999999999,6,09:53:00,50,3,0,1.76,4.07,7.63,036120,29.91,0.16,1,0.0
2022-04-19,STX엔진,16000,11:05:07,11:06:03,0.010000000000000009,7,11:05:00,41,7,1,3.39,3.8,3.69,077970,11.89,1.4,0,1.56
2022-04-19,일동홀딩스,43950,11:24:25,11:27:57,0.16000000000000003,8,09:01:00,88,26,0,2.01,4.17,8.01,000230,12.84,3.21,0,0.57
2022-04-19,일승,4235,11:30:53,11:34:31,-0.3,9,09:35:00,47,3,1,2.57,2.82,4.5,333430,22.05,0.86,1,6.49
2022-04-19,쌍방울,890,11:39:46,13:02:06,3.3000000000000003,10,09:22:00,91,6,1,0.94,0.68,-0.47,102280,19.14,0.0,1,5.96
2022-04-19,팜스토리,3280,13:49:10,13:50:27,2.14,11,09:14:00,105,14,0,1.22,1.75,3.57,027710,8.97,5.15,1,2.13
2022-04-19,쌍방울,924,13:56:51,14:05:34,2.41,12,09:22:00,91,3,1,1.64,1.7,2.01,102280,23.69,0.0,1,2.06
2022-04-19,광림,2855,14:11:10,14:11:54,0.75,13,14:11:00,66,26,1,3.11,4.92,7.09,014200,26.33,-1.33,1,1.75
2022-04-20,대주산업,3930,09:36:38,09:44:21,-0.6799999999999999,1,09:01:00,86,7,0,1.24,1.11,8.19,003310,19.09,7.12,1,3.05
2022-04-20,한국맥널티,10300,09:47:24,09:48:26,1.0999999999999999,2,09:47:00,98,7,0,0.73,2.35,12.68,222980,26.38,2.33,1,2.43
2022-04-20,하이스틸,7380,14:07:57,14:09:32,0.10999999999999999,3,13:19:00,84,4,0,0.79,0.95,4.9,071090,24.45,-2.19,1,2.17
2022-04-21,한신기계,12000,09:22:17,09:23:48,2.2,1,09:00:00,211,38,0,-0.79,2.08,13.21,011700,19.4,8.96,1,4.58
2022-04-22,사조동아원,2060,09:43:16,9:46:09,1.16,1,09:19:00,81,18,0,-1.76,-0.15,8.56,008040,14.13,-1.39,1,3.64
2022-04-26,제이씨케미칼,15650,09:10:15,09:14:28,-4.77,1,09:02:00,178,30,1,3.13,10.89,16.75,137950,19.92,16.48,1,2.88
2022-04-26,구영테크,4190,09:16:05,09:18:24,-0.3,2,09:15:00,46,46,4,3.24,6.91,9.73,053270,12.63,0.0,0,0.72
2022-04-26,팜스토리,5060,09:19:43,09:24:32,-0.3,3,09:02:00,223,50,0,1.07,6.77,17.75,027710,23.57,10.62,1,1.19
2022-04-26,기산텔레콤,4045,09:26:19,09:29:13,3.66,4,09:26:00,30,18,3,3.33,4.31,9.14,035460,13.78,5.49,1,1.85
2022-04-26,네온테크,4625,09:36:11,09:39:05,3.5900000000000003,5,09:27:00,47,41,1,2.09,5.15,10.09,306620,16.35,7.17,1,1.3
2022-04-27,마니커에프앤지,7180,09:05:45,09:06:13,0.54,1,09:00:00,107,13,0,5.85,9.96,15.87,195500,14.33,9.39,1,0.28
2022-04-27,지에스이,6440,09:26:03,09:26:32,-0.3,2,09:02:00,120,24,0,1.27,3.02,10.98,053050,19.7,16.17,1,0.93
2022-04-27,하림,4900,09:29:02,09:29:31,-0.19999999999999998,3,09:02:00,153,26,2,1.03,0.86,13.94,136480,27.11,16.86,1,1.12
2022-04-28,덕신하우징,3425,09:21:54,09:24:32,-1.47,1,09:09:00,135,21,3,2.22,1.57,15.54,090410,24.32,19.78,1,4.53
2022-04-28,동일제강,4700,09:27:21,09:27:59,1.8299999999999998,2,09:06:00,42,5,1,1.04,1.39,8.73,002690,14.77,10.87,1,2.87
2022-04-28,지에스이,8180,13:13:56,13:15:07,-0.9099999999999999,3,09:02:00,208,49,0,1.3,3.89,7.49,053050,17.02,10.59,1,1.59
