Date,Firm,BuyPrice,TimeBuy,TimeSell,Return,StockCode,Order,NewsFeature,NewsSEN,NewsTopic,NewsReport,ChangeBuy,ChangeOpen,MAd20,MAd60,MAd120,High5,High20,High60,BeforeMoney,MaxMoney,MinMoney,TimeMaxMoney,TimeMinMoney,MAm10,MAm20,MAm60,MaxHigh,TimeMinuteBuy,TimeSecondBuy,Alert,Mezzanine
2022-04-04,패션플랫폼,2530,14:29:19,14:30:16,-1.29,225590,17,0,0,0,0,18.5,0.94,25.45,35.26,32.63,-7.51,-7.51,-5.73,459018000,2995569600,714630,09:16:00,12:57:00,1.34,1.14,1.78,4.35,869,19,0,0
2022-04-04,정산애강,2335,14:33:08,14:38:52,-1.58,022220,18,1,1,0,0,11.19,-0.24,14.5,18.93,15.23,-6.21,-6.21,-5.78,254549750,4510478130,2100,13:46:00,12:57:00,0.15,-0.7,-0.61,8.35,873,8,0,0
2022-04-04,한신기계,10150,14:39:06,15:06:43,-1.97,011700,19,0,0,0,0,19.83,0.94,43.95,111.09,131.77,-6.31,-6.31,-6.31,3710271600,10691608320,67204350,10:32:00,13:08:00,1.35,2.12,2.56,1.97,879,6,1,0
2022-04-04,현대바이오,31050,15:06:45,15:08:14,-2.23,048410,20,1,0,0,0,7.81,0.0,3.0,4.8,14.08,2.25,16.1,17.55,1384922000,5336774000,57900,15:00:00,12:20:00,1.42,3.41,5.5,0.48,906,45,0,1
2022-04-04,데이타솔루션,8990,15:09:02,15:12:59,-1.08,263800,21,1,0,0,0,11.68,1.74,19.44,38.81,46.92,2.34,4.34,4.34,2835301700,4244462400,8140,14:53:00,13:50:00,1.77,2.34,4.44,1.0,909,2,0,0
2022-04-04,신영스팩5호,3050,15:13:21,15:32:41,-2.76,323280,22,0,0,0,0,22.98,0.4,15.46,15.06,15.99,-12.13,-12.13,0.0,769938390,938229120,2740,15:09:00,12:18:00,5.81,12.02,17.05,2.95,913,21,0,0
2022-04-05,누보,3910,09:06:11,09:10:44,-0.81,332290,1,0,0,0,0,18.31,13.62,28.3,59.7,66.68,1.53,13.94,13.94,2401575840,4282996060,2401575840,09:03:00,09:05:00,9.91,13.9,16.86,3.32,546,11,1,0
2022-04-05,아모그린텍,13050,09:11:25,09:12:40,1.9999999999999998,125210,2,0,0,0,0,17.04,11.66,22.89,21.48,10.07,-14.56,-13.03,-4.6,1169548800,6268159800,724390800,09:02:00,09:05:00,4.9,10.71,15.33,-0.38,551,25,0,0
2022-04-05,NPC,9780,09:16:19,09:17:03,-3.1599999999999997,004250,3,1,0,0,0,10.76,4.98,7.99,9.97,21.91,-5.73,-1.94,17.59,1617054660,3763267040,1020874160,09:07:00,09:12:00,1.91,4.2,8.29,-0.82,556,19,0,0
2022-04-05,무림SP,3790,09:17:44,09:18:44,0.6200000000000001,001810,4,0,0,1,0,14.67,0.91,18.19,19.04,19.9,-8.31,-8.31,1.58,185682780,1013856600,13591700,09:11:00,09:03:00,4.19,8.14,12.12,-1.06,557,44,0,0
2022-04-05,무림페이퍼,3040,09:20:01,09:23:33,4.16,009200,5,0,0,1,0,10.55,3.64,15.25,18.95,17.68,-7.57,-6.91,-0.16,1691338880,1691338880,30641275,09:19:00,09:01:00,4.11,5.21,8.67,1.32,560,1,0,0
2022-04-06,한신기계,10600,09:20:23,09:21:42,-0.3,011700,1,1,0,0,0,10.42,0.52,39.46,111.69,135.98,-2.36,-2.36,-2.36,6307296800,15153513650,1025436940,09:08:00,09:03:00,1.83,4.61,9.04,0.0,560,23,1,0
2022-04-06,KH 필룩스,3055,09:31:50,09:35:16,-2.26,033180,2,1,0,0,0,16.16,-2.66,40.15,38.32,20.38,13.75,13.75,13.75,3010701750,3010701750,141225300,09:30:00,09:19:00,7.27,8.32,13.71,-2.29,571,50,1,0
2022-04-06,누보,4100,09:38:02,09:45:09,0.07,332290,3,1,0,0,0,14.85,5.88,33.24,65.86,73.99,-1.46,8.66,8.66,3968818740,6636150430,71257415,09:25:00,09:14:00,3.21,5.21,9.71,0.73,578,2,1,0
2022-04-06,에이티세미콘,2155,09:48:59,09:56:13,2.02,089530,4,1,0,0,0,21.75,4.8,0.38,36.72,37.05,-4.64,80.74,80.74,1189924500,1978175880,35955240,09:09:00,09:45:00,4.33,4.78,8.57,0.93,588,59,0,1
2022-04-06,에이티세미콘,2255,10:45:12,17:50:05,1.7,089530,5,1,0,0,0,27.4,4.8,5.04,43.06,43.41,-8.87,72.73,72.73,491642675,2542611790,30245460,09:49:00,10:41:00,3.49,5.12,4.71,-0.22,645,12,0,1
2022-04-07,KG ETS,18200,09:30:20,09:41:32,4.65,151860,1,1,0,0,0,15.19,15.51,44.33,44.33,31.55,-11.54,-11.54,-11.54,696847000,37165205700,691362200,09:02:00,09:28:00,2.05,2.16,16.07,4.4,570,20,0,0
2022-04-08,대동기어,9690,09:22:35,09:23:41,-1.95,008830,1,0,0,1,0,21.89,4.53,23.06,41.13,50.61,-9.8,0.83,0.83,215413470,2919274560,2303280,09:05:00,09:01:00,0.64,1.26,13.03,1.86,562,35,0,0
2022-04-08,액션스퀘어,5170,09:24:09,09:25:54,-0.3,205500,2,0,0,0,0,14.63,2.0,29.14,24.28,-6.79,-6.87,-6.87,17.79,593309200,863892510,43519500,09:15:00,09:05:00,3.33,5.23,11.39,0.0,564,9,0,0
