주문일자,체결시간,종목명,매수가,수익률,매매기법,매도시간,종목코드,매수등락률,고가등락률,시가등락률,뉴스기사,10이격도,20이격도,최대거래대금(억),최소거래대금(억),최대거래대금 시간
2022-04-08,11:47:32,린드먼아시아,7000,0.0,,11:48:08,277070,26.35,28.34,0.0,0,2.96,3.47,17,0,2022-04-20 10:00:00
2022-04-08,13:51:07,KCTC,7020,-1.71,,13:51:40,009070,13.23,13.87,1.13,1,5.93,7.62,52,0,2022-04-20 13:47:00
2022-04-08,13:54:03,엠아이텍,10750,2.33,,14:42:04,179290,26.77,29.72,2.24,1,-0.28,-0.05,155,0,2022-04-20 13:17:00
2022-04-08,14:50:09,시너지이노베이션,4530,-0.11,,14:51:09,048870,22.43,24.73,0.54,1,0.8,0.83,51,0,2022-04-20 12:50:00
2022-04-08,15:00:57,시너지이노베이션,4375,-2.83,,15:05:01,048870,18.24,24.73,0.54,1,-0.36,-1.52,51,0,2022-04-20 12:50:00
2022-04-08,15:05:32,시너지이노베이션,4315,-1.39,,15:13:37,048870,16.62,24.73,0.54,1,-0.35,-2.02,51,0,2022-04-20 12:50:00
2022-04-08,15:15:02,하인크코리아,3720,10.31,상따,09:02:32,373200,29.62,29.97,-1.05,0,1.9,3.33,43,0,2022-04-20 15:10:00
2022-04-12,09:45:27,티사이언티픽,4505,-2.11,,09:49:54,057680,20.78,22.65,14.08,1,0.49,0.65,92,4,2022-04-20 09:02:00
2022-04-12,09:55:29,GS글로벌,4050,2.84,,09:58:43,001250,13.92,24.89,5.34,1,1.21,1.33,182,3,2022-04-20 09:00:00
2022-04-13,10:01:02,LG헬로비전,6160,1.95,,10:04:40,037560,19.15,29.98,5.61,1,0.65,0.57,73,1,2022-04-20 09:22:00
2022-04-15,09:54:51,쇼박스,6430,0.93,,09:57:19,086980,12.81,20.53,2.11,1,0.75,0.78,81,2,2022-04-20 09:18:00
2022-04-15,10:01:11,쇼박스,6630,1.36,,10:02:56,086980,16.32,20.53,2.11,1,2.09,3.13,81,2,2022-04-20 09:18:00
2022-04-15,13:41:29,쇼박스,6510,0.46,,13:43:57,086980,14.21,20.53,2.11,1,0.62,0.82,81,0,2022-04-20 09:18:00
2022-04-19,09:56:00,쌍방울,941,-2.13,,09:56:42,102280,25.97,29.99,0.0,1,0.0,0.0,0,0,2022-04-20 09:18:00
2022-04-19,09:57:26,쌍방울,926,-4.1,,10:01:21,102280,23.96,29.99,0.0,1,0.0,0.0,0,0,2022-04-20 09:18:00
2022-04-19,10:05:48,쌍방울,887,1.58,,10:50:28,102280,18.74,29.99,0.0,1,0.0,0.0,0,0,2022-04-20 09:18:00
2022-04-19,11:39:46,쌍방울,890,3.6,,13:02:06,102280,19.14,29.99,0.0,1,0.0,0.0,0,0,2022-04-20 09:18:00
2022-04-19,13:56:51,쌍방울,924,2.71,,14:05:34,102280,23.69,29.99,0.0,1,0.0,0.0,0,0,2022-04-20 09:18:00
2022-04-19,10:01:31,에코바이오,8810,1.4,,10:02:52,038870,25.14,27.84,-1.28,0,0.0,0.0,0,0,2022-04-20 09:18:00
2022-04-19,10:03:41,KG스틸,19400,-0.26,,10:05:39,016380,10.54,12.54,2.85,1,0.0,0.0,0,0,2022-04-20 09:18:00
2022-04-19,10:53:25,SCI평가정보,4105,-0.37,,10:53:32,036120,29.91,29.91,0.16,1,0.0,0.0,0,0,2022-04-20 09:18:00
2022-04-19,11:05:07,STX엔진,16000,0.31,,11:06:03,077970,11.89,15.73,1.4,0,0.0,0.0,0,0,2022-04-20 09:18:00
2022-04-19,11:24:25,일동홀딩스,43950,0.46,,11:27:57,000230,12.84,14.63,3.21,0,0.0,0.0,0,0,2022-04-20 09:18:00
2022-04-19,11:30:53,일승,4235,0.0,,11:34:31,333430,22.05,29.97,0.86,1,0.0,0.0,0,0,2022-04-20 09:18:00
2022-04-19,13:49:10,팜스토리,3280,2.44,,13:50:27,027710,8.97,13.46,5.15,1,0.0,0.0,0,0,2022-04-20 09:18:00
2022-04-19,14:11:10,광림,2855,1.05,,14:11:54,014200,26.33,29.87,-1.33,1,0.0,0.0,0,0,2022-04-20 09:18:00
