주문일자,종목명,매수가격,매수시간,매도시간,수익률,종목코드,뉴스기사,최대거래대금 시간,최대거래대금,매수등락률,단기과열
2022-04-12,GS글로벌,4050,09:55:29,09:58:43,2.84,001250,1,09:00:00,182,13.92,True
2022-04-13,LG헬로비전,6160,10:01:02,10:04:40,1.95,037560,1,09:22:00,73,19.15,False
2022-04-15,쇼박스,6430,09:54:51,09:57:19,0.93,086980,1,09:18:00,81,12.81,False
2022-04-15,쇼박스,6630,10:01:11,10:02:56,1.36,086980,1,09:18:00,81,16.32,False
2022-04-15,쇼박스,6510,13:41:29,13:43:57,0.46,086980,1,09:18:00,81,14.21,False
2022-04-19,쌍방울,941,09:56:00,09:56:42,-2.13,102280,1,09:22:00,91,25.97,False
2022-04-19,쌍방울,926,09:57:26,10:01:21,-4.1,102280,1,09:22:00,91,23.96,False
2022-04-19,쌍방울,887,10:05:48,10:50:28,1.58,102280,1,09:22:00,91,18.74,False
2022-04-19,쌍방울,890,11:39:46,13:02:06,3.6,102280,1,09:22:00,91,19.14,False
2022-04-19,쌍방울,924,13:56:51,14:05:34,2.71,102280,1,09:22:00,91,23.69,False
2022-04-19,에코바이오,8810,10:01:31,10:02:52,1.4,038870,0,10:01:00,24,25.14,False
2022-04-19,KG스틸,19400,10:03:41,10:05:39,-0.26,016380,1,09:24:00,100,10.54,False
2022-04-19,SCI평가정보,4105,10:53:25,10:53:32,-0.37,036120,1,09:53:00,50,29.91,False
2022-04-19,STX엔진,16000,11:05:07,11:06:03,0.31,077970,0,11:05:00,41,11.89,False
2022-04-19,일동홀딩스,43950,11:24:25,11:27:57,0.46,000230,0,09:01:00,88,12.84,True
2022-04-19,일승,4235,11:30:53,11:34:31,0.0,333430,1,09:35:00,47,22.05,True
2022-04-19,팜스토리,3280,13:49:10,13:50:27,2.44,027710,1,09:14:00,105,8.97,False
2022-04-19,광림,2855,14:11:10,14:11:54,1.05,014200,1,14:11:00,66,26.33,False
2022-04-20,대주산업,3930,09:36:38,09:44:21,-0.38,003310,1,09:01:00,86,19.09,True
2022-04-20,한국맥널티,10300,09:47:24,09:48:26,1.4,222980,1,09:47:00,98,26.38,True
2022-04-20,하이스틸,7380,14:07:57,14:09:32,0.41,071090,1,13:19:00,84,24.45,False
2022-04-22,사조동아원,2060,9:43:16,9:46:09,1.46,008040,1,09:19:00,81,14.13,True
